username,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,91,92,93,94,95,77,78,45
Ligne1_RATP ,5,0,0,4,0,0,0,5,0,0,2,6,0,0,0,3,3,0,0,1,0,4,0,3,0,0,0,0
Ligne2_RATP ,0,0,0,0,0,0,0,7,4,6,8,1,0,0,0,3,7,6,4,7,0,0,0,0,0,0,0,0
Ligne3_RATP ,0,5,4,0,0,0,0,3,2,1,4,0,0,0,0,0,5,0,0,3,0,3,1,0,0,0,0,0
Ligne4_RATP ,3,3,2,2,1,7,0,0,1,5,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0,0,0,0
Ligne5_RATP ,0,0,1,1,1,0,0,0,0,6,5,2,4,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0
Ligne6_RATP ,0,0,0,0,0,1,0,1,0,0,1,6,6,5,7,5,1,0,0,0,0,0,0,0,0,0,0,0
Ligne7_RATP ,4,1,0,3,4,0,0,0,5,5,0,0,7,0,0,0,0,0,5,0,0,0,3,6,0,0,0,0
Ligne8_RATP ,1,5,5,1,0,0,3,2,4,3,7,9,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0
Ligne9_RATP ,0,4,0,0,0,0,0,5,5,3,7,1,0,0,0,10,0,0,0,3,0,3,3,0,0,0,0,0
Ligne10_RATP ,0,0,0,0,5,5,4,0,0,0,0,0,1,0,6,6,0,0,0,0,0,2,0,0,0,0,0,0
Ligne11_RATP ,1,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0
Ligne12_RATP ,1,0,0,0,0,4,4,3,5,0,0,0,0,1,7,0,0,7,0,0,0,2,1,0,0,0,0,0
Ligne13_RATP ,0,0,0,0,0,2,4,5,2,0,0,0,0,5,2,0,6,4,0,0,0,7,6,0,0,0,0,0
Ligne14_RATP,2,0,0,1,0,0,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RER_A,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,5,3,14,4,6,11,0
RERB,1,0,0,1,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12,9,13,6,0,0,0,0
RERC,0,0,0,1,2,1,4,0,0,0,0,0,2,0,3,4,3,0,0,0,27,7,4,10,9,0,11,0
RERD,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26,0,3,5,10,11,0,1
RERE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,6,0,0
